id	text_without_diac	text
21117	مشاعر قوية مشاعر قوية مشاعر قوية يكنلو مشاعر قوية يكنلو مشاعر قوية	مَشَاعِرْ قْوِيَّة مَشَاعِرْ قْوِيَّة مَشَاعِرْ قْوِيَّة يْكِنّْلُو مَشَاعِرْ قْوِيَّة يْكِنّْلُو مَشَاعِرْ قْوِيَّة
18245	مناعة مناعة مناعة عندو مناعة قوية ضد المرض عندو مناعة قوية ضد المرض	مَنَاعَة مَنَاعَة مَنَاعَة عَنْدُو مَنَاعَة قْوِيَّة ضِدّْ الْمَرَضْ عَنْدُو مَنَاعَة قْوِيَّة ضِدّْ الْمَرَضْ
21338	نبرة الصوت نبرة الصوت نبرة الصوت نبرة الصوت متاعو قوية نبرة الصوت متاعو قوية	نَبْرِةْ الصُّوتْ نَبْرِةْ الصُّوتْ نَبْرِةْ الصُّوتْ نَبْرِةْ الصُّوتْ مْتَاعُو قْوِيَّة نَبْرِةْ الصُّوتْ مْتَاعُو قْوِيَّة
19030	عزيمة عزيمة عزيمة عندو عزيمة قوية عندو عزيمة قوية	عَزِيمَة عَزِيمَة عَزِيمَة عَنْدُو عَزِيمَة قْوِيَّة عَنْدُو عَزِيمَة قْوِيَّة
19474	مشى في فاكونس مشى في فاكونس مشى في فاكونس مشى في فاكونس لاسبانيا مشى في فاكونس لاسبانيا	مْشَى فِي فَاكُونْسْ مْشَى فِي فَاكُونْسْ مْشَى فِي فَاكُونْسْ مْشَى فِي فَاكُونْسْ لِسْبَانْيَا مْشَى فِي فَاكُونْسْ لِسْبَانْيَا
19475	مشى للمدرسة مشى للمدرسة مشى للمدرسة مشى للمدرسة على ساقيه مشى للمدرسة على ساقيه	مْشَى لِلْمَدْرْسَة مْشَى لِلْمَدْرْسَة مْشَى لِلْمَدْرْسَة مْشَى لِلْمَدْرْسَة عَلَى سَاقِيهْ مْشَى لِلْمَدْرْسَة عَلَى سَاقِيهْ
556	تمارض تمارض تمارض يتمارض بش ما يمشيش يخدم يتمارض بش ما يمشيش يخدم	تْمَارِضْ تْمَارِضْ تْمَارِضْ يِتْمَارِضْ بِشْ مَا يِمْشِيشْ يِخْدِمْ يِتْمَارِضْ بِشْ مَا يِمْشِيشْ يِخْدِمْ
19054	مدير مدير مدير جابولنا مدير مدرسة جديد جابولنا مدير مدرسة جديد	مُدِيرْ مُدِيرْ مُدِيرْ جَابُولْنَا مُدِيرْ مَدْرْسَة جْدِيدْ جَابُولْنَا مُدِيرْ مَدْرْسَة جْدِيدْ
19055	مدير ليسا مدير ليسا مدير ليسا بو احمد يخدم مدير ليسا بو احمد يخدم مدير ليسا	مُدِيرْ لِيسَ مُدِيرْ لِيسَ مُدِيرْ لِيسَ بُو أَحْمِدْ يِخْدِمْ مُدِيرْ لِيسَ بُو أَحْمِدْ يِخْدِمْ مُدِيرْ لِيسَ
171	تعليمات تعليمات تعليمات مدير المعمل اعطى تعليماتو بش نخدمو نهار الاحد مدير المعمل اعطى تعليماتو بش نخدمو نهار الاحد	تَعْلِيمَاتْ تَعْلِيمَاتْ تَعْلِيمَاتْ مُدِيرْ الْمَعْمِلْ عْطَى تَعْلِيمَاتُو بِشْ نِخْدْمُو نْهَارْ لَحَدْ مُدِيرْ الْمَعْمِلْ عْطَى تَعْلِيمَاتُو بِشْ نِخْدْمُو نْهَارْ لَحَدْ
18152	تصنيع تصنيع تصنيع المعمل الي بحذا دارنا يعملو فيه تصنيع العجالي متاع الكراهب الكبار  المعمل الي بحذا دارنا يعملو فيه تصنيع العجالي متاع الكراهب الكبار	تَصْنِيعْ تَصْنِيعْ تَصْنِيعْ الْمَعْمِلْ إِلِّي بَحْذَا دَارْنَا يَعْمْلُو فِيهْ تَصْنِيعْ لِعْجَالِي مْتَاعْ لِكْرَاهِبْ لِكْبَارْ الْمَعْمِلْ إِلِّي بَحْذَا دَارْنَا يَعْمْلُو فِيهْ تَصْنِيعْ لِعْجَالِي مْتَاعْ لِكْرَاهِبْ لِكْبَارْ
298	تفقد تفقد الخدامة في المعمل تفقد الخدامة في المعمل	تْفَقِّدْ تْفَقِّدْ تْفَقِّدْ تْفَقِّدْ الْخَدَّامَة فِي الْمَعْمِلْ تْفَقِّدْ الْخَدَّامَة فِي الْمَعْمِلْ
464	تكنولوجيا تكنولوجيا تكنولوجيا المعمل يستعمل في تكنولوجيا مطورة المعمل يستعمل في تكنولوجيا مطورة	تِكْنُولُوجْيَا تِكْنُولُوجْيَا تِكْنُولُوجْيَا الْمَعْمِلْ يِسْتَعْمِلْ فِي تِكْنُولُوجْيَا مِطَّوْرَة الْمَعْمِلْ يِسْتَعْمِلْ فِي تِكْنُولُوجْيَا مِطَّوْرَة
19561	يد المطرقة يد المطرقة يد المطرقة شد يد المطرقة من الوسط و اضرب شد يد المطرقة من الوسط و اضرب	يِدْ لِمْطَرْقَة يِدْ لِمْطَرْقَة يِدْ لِمْطَرْقَة شِدْ يِدْ لِمْطَرْقَة مِنْ الْوِسْطْ وُ ضْرُبْ شِدْ يِدْ لِمْطَرْقَة مِنْ الْوِسْطْ وُ ضْرُبْ
19794	يدو يدو يدو يدو ما يهمنيش فيه يتغشش و الا يتطرشق يدو ما يهمنيش فيه يتغشش و الا يتطرشق	يِدُّو يِدُّو يِدُّو يِدُّو مَا يْهِمْنِيشْ فِيهْ يِتْغَشِّشْ وَ لَّا يِتْطَرْشَقْ يِدُّو مَا يْهِمْنِيشْ فِيهْ يِتْغَشِّشْ وَ لَّا يِتْطَرْشَقْ
19557	يدو رقدت يدو رقدت يدو رقدت يدو رقدت من كثرة الكتيبة يدو رقدت من كثرة الكتيبة	يِدُّو رَقْدِتْ يِدُّو رَقْدِتْ يِدُّو رَقْدِتْ يِدُّو رَقْدِتْ مِنْ كُثْرِةْ ِلكْتِيبَة يِدُّو رَقْدِتْ مِنْ كُثْرِةْ ِلكْتِيبَة
19853	يدو في يد خوه يدو في يد خوه يدو في يد خوه صبوا الدالة يدو في يد خوه صبوا الدالة يدو في يد خوه	يِدُّو فِي يِدْ خُوهْ يِدُّو فِي يِدْ خُوهْ يِدُّو فِي يِدْ خُوهْ صَبُّوا الدَّالَّة يِدُّو فِي يِدْ خُوهْ صَبُّوا الدَّالَّة يِدُّو فِي يِدْ خُوهْ
20559	يدو محلولة يدو محلولة يدو محلولة هو انسان كريم يدو محلولة هو انسان كريم يدو محلولة	يِدُّو مَحْلُولَة يِدُّو مَحْلُولَة يِدُّو مَحْلُولَة هُوَّ إِنْسَانْ كْرِيمْ يِدُّو مَحْلُولَةْ هُوَّ إِنْسَانْ كْرِيمْ يِدُّو مَحْلُولَةْ
20610	يدو ميدخلهاش لجيبو يدو ميدخلهاش لجيبو يدو ميدخلهاش لجيبو ياسر جيفة يدو مايدخلهاش لجيبو ياسر جيفة يدو مايدخلهاش لجيبو	يِدُّو مَيْدَخِّلْهَاشْ لْجِيبُو يِدُّو مَيْدَخِّلْهَاشْ لْجِيبُو يِدُّو مَيْدَخِّلْهَاشْ لْجِيبُو يَاسِرْ جِيفَة يِدُّو مَيْدَخِّلْهَاشْ لْجِيبُو يَاسِرْ جِيفَة يِدُّو مَيْدَخِّلْهَاشْ لْجِيبُو
21304	يدو ديما مسكرة يدو ديما مسكرة يدو ديما مسكرة اللطف يدو ديما مسكرة اللطف يدو ديما مسكرة	يِدُّو دِيمَا مْسَكّْرَة يِدُّو دِيمَا مْسَكّْرَة يِدُّو دِيمَا مْسَكّْرَة الْلُّطْفْ يِدُّو دِيمَا مْسَكّْرَة الْلُّطْفْ يِدُّو دِيمَا مْسَكّْرَة
19555	يدو مقصوصة يدو مقصوصة يدو مقصوصة مسكين الي ريناه في الصبيطار يدو مقصوصة مسكين الي ريناه في الصبيطار يدو مقصوصة	يِدُّو مَقْصُوصَة يِدُّو مَقْصُوصَة يِدُّو مَقْصُوصَة مِسْكِينْ إِلِّي رِينَاهْ فِي الصّْبِيطَارْ يِدُّو مَقْصُوصَة مِسْكِينْ إِلِّي رِينَاهْ فِي الصّْبِيطَارْ يِدُّو مَقْصُوصَة
302	تفلت من يدو تفلت من يدو تفلت من يدو فرصة معاش تتعاود لازم معاش تفلت من ايدو فرصة معاش تتعاود لازم معاش تفلت من ايدو	تِفْلِتْ مِنْ يِدُّو تِفْلِتْ مِنْ يِدُّو تِفْلِتْ مِنْ يِدُّو فُرْصَة مَعَاشْ تِتْعَاوِدْ لَازِمْ مَعَاشْ تِفْلِتْ مِنْ يِدُّو فُرْصَة مَعَاشْ تِتْعَاوِدْ لَازِمْ مَعَاشْ تِفْلِتْ مِنْ يِدُّو
543	تلهى بيه تلهى بيه تلهى بيه تلهى بيه ياخي خذاه بعين تلهى بيه ياخي خذاه بعين	تِلْهَى بِيهْ تِلْهَى بِيهْ  تِلْهَى بِيهْ تِلْهَى بِيهْ يَاخِي خْذَاهْ بْعِينْ تِلْهَى بِيهْ يَاخِي خْذَاهْ بْعِينْ
122	تعدى بيه العمر تعدى بيه العمر تعدى بيه العمر تعدى بيه العمر اكاكا تعدى بيه العمر اكاكا	تْعَدَّى بِيهْ لِعْمُرْ تْعَدَّى بِيهْ لِعْمُرْ تْعَدَّى بِيهْ لِعْمُرْ تْعَدَّى بِيهْ لِعْمُرْ أَكَّاكَا تْعَدَّى بِيهْ لِعْمُرْ أَكَّاكَا
193	تعيس تعيس تعيس ياسر تعيس الشخص الي عرفتني بيه ياسر تعيس الشخص الي عرفتني بيه	تَعِيسْ تَعِيسْ تَعِيسْ يَاسِرْ تَعِيسْ الشَّخْصْ إِلِّي عَرَّفْتْنِي بِيهْ يَاسِرْ تَعِيسْ الشَّخْصْ إِلِّي عَرَّفْتْنِي بِيهْ
737	تهز تهز تهز الكرسي متاعي تهز مالبلاصا هاذي الكرسي متاعي تهز مالبلاصا هاذي	تْهَزْ تْهَزْ تْهَزْ الْكُرْسِي مْتَاعِي تْهَزْ مِلْبْلَاصَا هَاذِي الْكُرْسِي مْتَاعِي تْهَزْ مِلْبْلَاصَا هَاذِي
550	تلوى تلوى تلوى ساقو تلوات ساقو تلوات	تِلْوَى تِلْوَى تِلْوَى سَاقُو تِلْوَاتْ سَاقُو تِلْوَاتْ
18962	عيط عيط عيط عيط بالقوي باش يسمعك عيط بالقوي باش يسمعك	عَيِّطْ عَيِّطْ عَيِّطْ عَيِّطْ بِلْقْوِيْ بَاشْ يَسْمْعِكْ عَيِّطْ بِلْقْوِيْ بَاشْ يَسْمْعِكْ
190	تعود تعود تعود تعود ع الريتم اذاكا تعود ع الريتم اذاكا	تْعَوِّدْ تْعَوِّدْ تْعَوِّدْ تْعَوِّدْ عَلَى الرِّيتِمْ أَذَاكَا تْعَوِّدْ عَلَى الرِّيتِمْ أَذَاكَا
815	تورنوا متاع شطرنج تورنوا متاع شطرنج تورنوا متاع شطرنج دار الشباب تنظم تورنوا متاع شطرنج دار الشباب تنظم تورنوا متاع شطرنج	تُورْنْوَا مْتَاعْ شِطْرَنْجْ تُورْنْوَا مْتَاعْ شِطْرَنْجْ تُورْنْوَا مْتَاعْ شِطْرَنْجْ دَارْ الشَّبَابْ تْنَظِّمْ تُورْنْوَا مْتَاعْ شِطْرَنْجْ دَارْ الشَّبَابْ تْنَظِّمْ تُورْنْوَ
18808	كوكا كولا كوكا كولا كوكا كولا بعد الفطور ديما نحب نشرب كوكا كولا بعد الفطور ديما نحب نشرب كوكا كولا	كُوكَا كُولَا كُوكَا كُولَا كُوكَا كُولَا بَعْدْ لِفْطُورْ دِيمَا نْحِبْ نُشْرِبْ كُوكَا كُولَا بَعْدْ لِفْطُورْ دِيمَا نْحِبْ نُشْرِبْ كُوكَا كُولَا
14525	ابرافياسيون ابرافياسيون ابرافياسيون لابرافياسيون متاع كوكاكولا هي كوكا  لابرافياسيون متاع كوكاكولا هي كوكا	أَبْرِفْيَاسْيُونْ أَبْرِفْيَاسْيُونْ أَبْرِفْيَاسْيُونْ لَابْرِفْيَاسْيُونْ مْتَاعْ كُوكَاكُولَا هِيَّ كُوكَا لَابْرِفْيَاسْيُونْ مْتَاعْ كُوكَاكُولَا هِيَّ كُوكَا
47	بواط نجيبلك كوكا بواط و الا بلار  نجيبلك كوكا بواط و الا بلار	بْوَاطْ الدَّبُّوزَ الْكُلّْهَا بْوَاطْ الدَّبُّوزَ الْكُلّْهَا بْوَاطْ
19500	فون د كومارس فون د كومارس فون د كومارس يحب يبيع الفون د كومارس يحب يبيع الفون د كومارس	فُونْ دْ كُومَارِسْ فُونْ دْ كُومَارِسْ فُونْ دْ كُومَارِسْ يْحِبْ يْبِيعْ الْفُونْ دْ كُومَارِسْ يْحِبْ يْبِيعْ الْفُونْ دْ كُومَارِسْ
19648	ناقص في الفهم ناقص في الفهم ناقص في الفهم لازم يزيد يقرى مازال ناقص في الفهم لازم يزيد يقرى مازال ناقص في الفهم	نَاقِصْ فِي الْفَهْمْ نَاقِصْ فِي الْفَهْمْ نَاقِصْ فِي الْفَهْمْ لَازِمْ يْزِيدْ يَقْرَى مَازَالْ نَاقِصْ فِي الْفَهْمْ لَازِمْ يْزِيدْ يَقْرَى مَازَالْ نَاقِصْ فِي الْفَهْمْ
324	تقاعس تقاعس تقاعس التقاعس في العمل ينقص في البروديكسيون التقاعس في العمل ينقص في البروديكسيون	تْقَاعِسْ تْقَاعِسْ تْقَاعِسْ التَّقَاعِسْ فِي الْعْمَلْ يْنَقِّصْ فِي الْبْرُودِيكْسْيُونْ التَّقَاعِسْ فِي الْعْمَلْ يْنَقِّصْ فِي الْبْرُودِيكْسْيُونْ
14903	ار فراش ار فراش ار فراش فشفش الكرهبة بالار فراش فشفش الكرهبة بالار فراش	آرْ فْرَاشْ آرْ فْرَاشْ آرْ فْرَاشْ فَشْفِشْ الْكَرْهْبَة بِلْآرْ فْرَاشْ فَشْفِشْ الْكَرْهْبَة بِلْآرْ فْرَاشْ
18357	نصيحة نصيحة نصيحة قدمتلو النصيحة و ان شاء الله ياخو بيها قدمتلو النصيحة و ان شاء الله ياخو بيها	نْصِيحَة نْصِيحَة نْصِيحَة قَدَّمْتْلُو النّْصِيحَة وْ نْشَاءْ الْلَّهْ يَاخُو بِيهَا قَدَّمْتْلُو النّْصِيحَة وْ نْشَاءْ الْلَّهْ يَاخُو بِيهَا
15781	الهة الهة الهة قبل لعباد كانو يعبدو في برشا الهة قبل لعباد كانو يعبدو في برشا الهة	آلْهَة آلْهَة آلْهَة قْبَلْ لَعْبَادْ كَانُو يَعْبْدُو فِي بَرْشَا آلْهَة قْبَلْ لَعْبَادْ كَانُو يَعْبْدُو فِي بَرْشَا آلْهَة
