id	text_without_diac	text
21117	????? ???? ????? ???? ????? ???? ????? ????? ???? ????? ????? ????	????????? ???????? ????????? ???????? ????????? ???????? ?????????? ????????? ???????? ?????????? ????????? ????????
18245	????? ????? ????? ???? ????? ???? ?? ????? ???? ????? ???? ?? ?????	???????? ???????? ???????? ??????? ???????? ???????? ????? ????????? ??????? ???????? ???????? ????? ?????????
21338	???? ????? ???? ????? ???? ????? ???? ????? ????? ???? ???? ????? ????? ????	???????? ???????? ???????? ???????? ???????? ???????? ???????? ???????? ???????? ???????? ???????? ???????? ???????? ????????
19030	????? ????? ????? ???? ????? ???? ???? ????? ????	???????? ???????? ???????? ??????? ???????? ???????? ??????? ???????? ????????
19474	??? ?? ?????? ??? ?? ?????? ??? ?? ?????? ??? ?? ?????? ???????? ??? ?? ?????? ????????	????? ??? ?????????? ????? ??? ?????????? ????? ??? ?????????? ????? ??? ?????????? ???????????? ????? ??? ?????????? ????????????
19475	??? ??????? ??? ??????? ??? ??????? ??? ??????? ??? ????? ??? ??????? ??? ?????	????? ????????????? ????? ????????????? ????? ????????????? ????? ????????????? ????? ???????? ????? ????????????? ????? ????????
556	????? ????? ????? ?????? ?? ?? ????? ???? ?????? ?? ?? ????? ????	????????? ????????? ????????? ??????????? ???? ??? ????????? ???????? ??????????? ???? ??? ????????? ????????
19054	???? ???? ???? ??????? ???? ????? ???? ??????? ???? ????? ????	??????? ??????? ??????? ??????????? ??????? ????????? ??????? ??????????? ??????? ????????? ???????
19055	???? ???? ???? ???? ???? ???? ?? ???? ???? ???? ???? ?? ???? ???? ???? ????	??????? ????? ??????? ????? ??????? ????? ??? ???????? ???????? ??????? ????? ??? ???????? ???????? ??????? ?????
171	??????? ??????? ??????? ???? ?????? ???? ???????? ?? ????? ???? ????? ???? ?????? ???? ???????? ?? ????? ???? ?????	???????????? ???????????? ???????????? ??????? ??????????? ????? ????????????? ???? ????????? ??????? ?????? ??????? ??????????? ????? ????????????? ???? ????????? ??????? ??????
18152	????? ????? ????? ?????? ??? ???? ????? ????? ??? ????? ??????? ???? ??????? ??????  ?????? ??? ???? ????? ????? ??? ????? ??????? ???? ??????? ??????	????????? ????????? ????????? ??????????? ?????? ??????? ???????? ????????? ????? ????????? ?????????? ??????? ??????????? ????????? ??????????? ?????? ??????? ???????? ????????? ????? ????????? ?????????? ??????? ??????????? ?????????
298	???? ???? ??????? ?? ?????? ???? ??????? ?? ??????	????????? ????????? ????????? ????????? ???????????? ??? ??????????? ????????? ???????????? ??? ???????????
464	????????? ????????? ????????? ?????? ?????? ?? ????????? ????? ?????? ?????? ?? ????????? ?????	??????????????? ??????????????? ??????????????? ??????????? ???????????? ??? ??????????????? ?????????? ??????????? ???????????? ??? ??????????????? ??????????
19561	?? ??????? ?? ??????? ?? ??????? ?? ?? ??????? ?? ????? ? ???? ?? ?? ??????? ?? ????? ? ????	???? ??????????? ???? ??????????? ???? ??????????? ???? ???? ??????????? ???? ????????? ?? ?????? ???? ???? ??????????? ???? ????????? ?? ??????
19794	??? ??? ??? ??? ?? ?????? ??? ????? ? ??? ?????? ??? ?? ?????? ??? ????? ? ??? ??????	?????? ?????? ?????? ?????? ??? ??????????? ????? ??????????? ?? ???? ???????????? ?????? ??? ??????????? ????? ??????????? ?? ???? ????????????
19557	??? ???? ??? ???? ??? ???? ??? ???? ?? ???? ??????? ??? ???? ?? ???? ???????	?????? ???????? ?????? ???????? ?????? ???????? ?????? ???????? ???? ???????? ?????????? ?????? ???????? ???? ???????? ??????????
19853	??? ?? ?? ??? ??? ?? ?? ??? ??? ?? ?? ??? ???? ?????? ??? ?? ?? ??? ???? ?????? ??? ?? ?? ???	?????? ??? ???? ????? ?????? ??? ???? ????? ?????? ??? ???? ????? ??????? ?????????? ?????? ??? ???? ????? ??????? ?????????? ?????? ??? ???? ?????
20559	??? ?????? ??? ?????? ??? ?????? ?? ????? ???? ??? ?????? ?? ????? ???? ??? ??????	?????? ?????????? ?????? ?????????? ?????? ?????????? ????? ????????? ??????? ?????? ??????????? ????? ????????? ??????? ?????? ???????????
20610	??? ???????? ????? ??? ???????? ????? ??? ???????? ????? ???? ???? ??? ????????? ????? ???? ???? ??? ????????? ?????	?????? ???????????????? ???????? ?????? ???????????????? ???????? ?????? ???????????????? ???????? ??????? ?????? ?????? ???????????????? ???????? ??????? ?????? ?????? ???????????????? ????????
21304	??? ???? ????? ??? ???? ????? ??? ???? ????? ????? ??? ???? ????? ????? ??? ???? ?????	?????? ?????? ?????????? ?????? ?????? ?????????? ?????? ?????? ?????????? ?????????? ?????? ?????? ?????????? ?????????? ?????? ?????? ??????????
19555	??? ?????? ??? ?????? ??? ?????? ????? ??? ????? ?? ???????? ??? ?????? ????? ??? ????? ?? ???????? ??? ??????	?????? ?????????? ?????? ?????????? ?????? ?????????? ????????? ?????? ???????? ??? ????????????? ?????? ?????????? ????????? ?????? ???????? ??? ????????????? ?????? ??????????
302	???? ?? ??? ???? ?? ??? ???? ?? ??? ???? ???? ?????? ???? ???? ???? ?? ???? ???? ???? ?????? ???? ???? ???? ?? ????	???????? ???? ?????? ???????? ???? ?????? ???????? ???? ?????? ??????? ??????? ??????????? ??????? ??????? ???????? ???? ?????? ??????? ??????? ??????????? ??????? ??????? ???????? ???? ??????
543	???? ??? ???? ??? ???? ??? ???? ??? ???? ???? ???? ???? ??? ???? ???? ????	??????? ????? ??????? ?????  ??????? ????? ??????? ????? ?????? ??????? ??????? ??????? ????? ?????? ??????? ???????
122	???? ??? ????? ???? ??? ????? ???? ??? ????? ???? ??? ????? ????? ???? ??? ????? ?????	???????? ????? ???????? ???????? ????? ???????? ???????? ????? ???????? ???????? ????? ???????? ????????? ???????? ????? ???????? ?????????
193	???? ???? ???? ???? ???? ????? ??? ?????? ??? ???? ???? ????? ??? ?????? ???	??????? ??????? ??????? ??????? ??????? ????????? ?????? ???????????? ????? ??????? ??????? ????????? ?????? ???????????? ?????
